node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,geometry
10000001,10,-112.117589,33.377274,transit,,,POINT (-112.117589 33.377274)
10000002,100,-111.9860836,33.64048337,transit,,,POINT (-111.9860836 33.64048337)
10000003,1002,-112.2009471,33.56353253,transit,,,POINT (-112.2009471 33.56353253)
10000004,10021,-112.0700826,33.45312081,transit,,,POINT (-112.0700826 33.45312081)
10000005,1003,-112.0858039,33.4000364,transit,,,POINT (-112.0858039 33.4000364)
10000006,1004,-112.0985289,33.377644,transit,,,POINT (-112.0985289 33.377644)
10000007,1005,-112.133145,33.37751097,transit,,,POINT (-112.133145 33.37751097)
10000008,1006,-112.0821369,33.37760769,transit,,,POINT (-112.0821369 33.37760769)
10000009,1007,-111.9554215,33.37807901,transit,,,POINT (-111.9554215 33.37807901)
10000010,1008,-112.0914515,33.37761392,transit,,,POINT (-112.0914515 33.37761392)
10000011,1009,-112.1180078,33.37754533,transit,,,POINT (-112.1180078 33.37754533)
10000012,101,-111.9798563,33.64043868,transit,,,POINT (-111.9798563 33.64043868)
10000013,1010,-112.1214479,33.37757473,transit,,,POINT (-112.1214479 33.37757473)
10000014,10104,-112.057755,33.295379,transit,,,POINT (-112.057755 33.295379)
10000015,1011,-112.0786642,33.37764212,transit,,,POINT (-112.0786642 33.37764212)
10000016,1012,-111.9777277,33.37803349,transit,,,POINT (-111.9777277 33.37803349)
10000017,1013,-111.9581565,33.37809714,transit,,,POINT (-111.9581565 33.37809714)
10000018,10131,-111.833231,33.275377,transit,,,POINT (-111.833231 33.275377)
10000019,10133,-112.171956,33.552582,transit,,,POINT (-112.171956 33.552582)
10000020,1014,-111.8770681,33.37838207,transit,,,POINT (-111.8770681 33.37838207)
10000021,10142,-112.069363,33.567123,transit,,,POINT (-112.069363 33.567123)
10000022,1015,-112.0653616,33.65525824,transit,,,POINT (-112.0653616 33.65525824)
10000023,1016,-111.9454541,33.3780073,transit,,,POINT (-111.9454541 33.3780073)
10000024,1019,-112.0654617,33.65908958,transit,,,POINT (-112.0654617 33.65908958)
10000025,102,-111.9682694,33.64036946,transit,,,POINT (-111.9682694 33.64036946)
10000026,1020,-111.9624723,33.37805712,transit,,,POINT (-111.9624723 33.37805712)
10000027,1022,-112.0654727,33.66255962,transit,,,POINT (-112.0654727 33.66255962)
10000028,1023,-112.0654426,33.66625213,transit,,,POINT (-112.0654426 33.66625213)
10000029,10231,-112.098853,33.589283,transit,,,POINT (-112.098853 33.589283)
10000030,1024,-112.1462735,33.63925953,transit,,,POINT (-112.1462735 33.63925953)
10000031,1025,-112.0867097,33.6400372,transit,,,POINT (-112.0867097 33.6400372)
10000032,10258,-112.050246,33.576629,transit,,,POINT (-112.050246 33.576629)
10000033,1026,-112.0909946,33.64001368,transit,,,POINT (-112.0909946 33.64001368)
10000034,1027,-112.0950439,33.64000682,transit,,,POINT (-112.0950439 33.64000682)
10000035,10272,-112.069340,33.567025,transit,,,POINT (-112.069340 33.567025)
10000036,1028,-112.0987754,33.63994917,transit,,,POINT (-112.0987754 33.63994917)
10000037,10280,-112.071478,33.562889,transit,,,POINT (-112.071478 33.562889)
10000038,1029,-112.1027928,33.63991747,transit,,,POINT (-112.1027928 33.63991747)
10000039,103,-111.9642778,33.64034836,transit,,,POINT (-111.9642778 33.64034836)
10000040,1030,-112.1078832,33.63986996,transit,,,POINT (-112.1078832 33.63986996)
10000041,1031,-112.1208321,33.63965622,transit,,,POINT (-112.1208321 33.63965622)
10000042,1032,-112.1245942,33.63961089,transit,,,POINT (-112.1245942 33.63961089)
10000043,1033,-112.1295439,33.63952691,transit,,,POINT (-112.1295439 33.63952691)
10000044,1034,-112.133856,33.63943075,transit,,,POINT (-112.133856 33.63943075)
10000045,1035,-112.138205,33.639297,transit,,,POINT (-112.138205 33.639297)
10000046,1036,-112.1426822,33.63931375,transit,,,POINT (-112.1426822 33.63931375)
10000047,1037,-112.0780962,33.64009402,transit,,,POINT (-112.0780962 33.64009402)
10000048,1038,-112.150981,33.63917138,transit,,,POINT (-112.150981 33.63917138)
10000049,1039,-112.160005,33.638998,transit,,,POINT (-112.160005 33.638998)
10000050,104,-111.9595221,33.64029637,transit,,,POINT (-111.9595221 33.64029637)
10000051,1040,-112.1644229,33.63894858,transit,,,POINT (-112.1644229 33.63894858)
10000052,1041,-112.1685855,33.63885371,transit,,,POINT (-112.1685855 33.63885371)
10000053,1042,-112.1725765,33.63882429,transit,,,POINT (-112.1725765 33.63882429)
10000054,1043,-112.1807412,33.63869683,transit,,,POINT (-112.1807412 33.63869683)
10000055,1044,-112.1856529,33.6385477,transit,,,POINT (-112.1856529 33.6385477)
10000056,1045,-112.1904708,33.6385033,transit,,,POINT (-112.1904708 33.6385033)
10000057,1046,-112.1944342,33.63843969,transit,,,POINT (-112.1944342 33.63843969)
10000058,1047,-112.2010647,33.63814681,transit,,,POINT (-112.2010647 33.63814681)
10000059,1048,-112.2064383,33.63811877,transit,,,POINT (-112.2064383 33.63811877)
10000060,1049,-112.2153731,33.638088,transit,,,POINT (-112.2153731 33.638088)
10000061,105,-111.9553861,33.64029279,transit,,,POINT (-111.9553861 33.64029279)
10000062,1050,-112.219745,33.63801058,transit,,,POINT (-112.219745 33.63801058)
10000063,1051,-112.0823959,33.64002815,transit,,,POINT (-112.0823959 33.64002815)
10000064,1052,-112.1551412,33.63910914,transit,,,POINT (-112.1551412 33.63910914)
10000065,1053,-112.177329,33.63876122,transit,,,POINT (-112.177329 33.63876122)
