demand_period,time_period,agent_type,o_zone_id,d_zone_id,volume,geometry
AM,0900_0930,bike,2,9,10.4896,"LINESTRING (-111.942400 33.414703,-111.940418 33.431200,)"
AM,0900_0930,bus,2,9,10.4896,"LINESTRING (-111.942400 33.414703,-111.940418 33.431200,)"
AM,0900_0930,truck,2,9,10.4896,"LINESTRING (-111.942400 33.414703,-111.940418 33.431200,)"
AM,0900_0930,cav,2,9,10.4896,"LINESTRING (-111.942400 33.414703,-111.940418 33.431200,)"
AM,0900_0930,ev,2,9,10.4896,"LINESTRING (-111.942400 33.414703,-111.940418 33.431200,)"
AM,0900_0930,traveler,2,9,10.4896,"LINESTRING (-111.942400 33.414703,-111.940418 33.431200,)"
AM,0900_0930,auto,2,10,5.2448,"LINESTRING (-111.942400 33.414703,-111.926288 33.431200,)"
AM,0900_0930,walk,2,10,5.2448,"LINESTRING (-111.942400 33.414703,-111.926288 33.431200,)"
AM,0900_0930,bike,2,10,5.2448,"LINESTRING (-111.942400 33.414703,-111.926288 33.431200,)"
AM,0900_0930,bus,2,10,5.2448,"LINESTRING (-111.942400 33.414703,-111.926288 33.431200,)"
AM,0900_0930,truck,2,10,5.2448,"LINESTRING (-111.942400 33.414703,-111.926288 33.431200,)"
AM,0900_0930,cav,2,10,5.2448,"LINESTRING (-111.942400 33.414703,-111.926288 33.431200,)"
AM,0900_0930,ev,2,10,5.2448,"LINESTRING (-111.942400 33.414703,-111.926288 33.431200,)"
AM,0900_0930,traveler,2,10,5.2448,"LINESTRING (-111.942400 33.414703,-111.926288 33.431200,)"
AM,0900_0930,auto,2,11,5.2448,"LINESTRING (-111.942400 33.414703,-111.933966 33.418355,)"
AM,0900_0930,walk,2,11,5.2448,"LINESTRING (-111.942400 33.414703,-111.933966 33.418355,)"
AM,0900_0930,bike,2,11,5.2448,"LINESTRING (-111.942400 33.414703,-111.933966 33.418355,)"
AM,0900_0930,bus,2,11,5.2448,"LINESTRING (-111.942400 33.414703,-111.933966 33.418355,)"
AM,0900_0930,truck,2,11,5.2448,"LINESTRING (-111.942400 33.414703,-111.933966 33.418355,)"
AM,0900_0930,cav,2,11,5.2448,"LINESTRING (-111.942400 33.414703,-111.933966 33.418355,)"
AM,0900_0930,ev,2,11,5.2448,"LINESTRING (-111.942400 33.414703,-111.933966 33.418355,)"
AM,0900_0930,traveler,2,11,5.2448,"LINESTRING (-111.942400 33.414703,-111.933966 33.418355,)"
AM,0900_0930,auto,2,12,10.4896,"LINESTRING (-111.942400 33.414703,-111.930554 33.412700,)"
AM,0900_0930,walk,2,12,10.4896,"LINESTRING (-111.942400 33.414703,-111.930554 33.412700,)"
AM,0900_0930,bike,2,12,10.4896,"LINESTRING (-111.942400 33.414703,-111.930554 33.412700,)"
AM,0900_0930,bus,2,12,10.4896,"LINESTRING (-111.942400 33.414703,-111.930554 33.412700,)"
AM,0900_0930,truck,2,12,10.4896,"LINESTRING (-111.942400 33.414703,-111.930554 33.412700,)"
AM,0900_0930,cav,2,12,10.4896,"LINESTRING (-111.942400 33.414703,-111.930554 33.412700,)"
AM,0900_0930,ev,2,12,10.4896,"LINESTRING (-111.942400 33.414703,-111.930554 33.412700,)"
AM,0900_0930,traveler,2,12,10.4896,"LINESTRING (-111.942400 33.414703,-111.930554 33.412700,)"
AM,0900_0930,auto,2,13,5.2448,"LINESTRING (-111.942400 33.414703,-111.922898 33.423812,)"
AM,0900_0930,walk,2,13,5.2448,"LINESTRING (-111.942400 33.414703,-111.922898 33.423812,)"
AM,0900_0930,bike,2,13,5.2448,"LINESTRING (-111.942400 33.414703,-111.922898 33.423812,)"
AM,0900_0930,bus,2,13,5.2448,"LINESTRING (-111.942400 33.414703,-111.922898 33.423812,)"
AM,0900_0930,truck,2,13,5.2448,"LINESTRING (-111.942400 33.414703,-111.922898 33.423812,)"
AM,0900_0930,cav,2,13,5.2448,"LINESTRING (-111.942400 33.414703,-111.922898 33.423812,)"
AM,0900_0930,ev,2,13,5.2448,"LINESTRING (-111.942400 33.414703,-111.922898 33.423812,)"
AM,0900_0930,traveler,2,13,5.2448,"LINESTRING (-111.942400 33.414703,-111.922898 33.423812,)"
AM,0900_0930,auto,2,14,5.2448,"LINESTRING (-111.942400 33.414703,-111.936678 33.421289,)"
AM,0900_0930,walk,2,14,5.2448,"LINESTRING (-111.942400 33.414703,-111.936678 33.421289,)"
AM,0900_0930,bike,2,14,5.2448,"LINESTRING (-111.942400 33.414703,-111.936678 33.421289,)"
AM,0900_0930,bus,2,14,5.2448,"LINESTRING (-111.942400 33.414703,-111.936678 33.421289,)"
AM,0900_0930,truck,2,14,5.2448,"LINESTRING (-111.942400 33.414703,-111.936678 33.421289,)"
AM,0900_0930,cav,2,14,5.2448,"LINESTRING (-111.942400 33.414703,-111.936678 33.421289,)"
AM,0900_0930,ev,2,14,5.2448,"LINESTRING (-111.942400 33.414703,-111.936678 33.421289,)"
AM,0900_0930,traveler,2,14,5.2448,"LINESTRING (-111.942400 33.414703,-111.936678 33.421289,)"
AM,0900_0930,auto,2,15,10.4896,"LINESTRING (-111.942400 33.414703,-111.942400 33.429350,)"
AM,0900_0930,walk,2,15,10.4896,"LINESTRING (-111.942400 33.414703,-111.942400 33.429350,)"
AM,0900_0930,bike,2,15,10.4896,"LINESTRING (-111.942400 33.414703,-111.942400 33.429350,)"
AM,0900_0930,bus,2,15,10.4896,"LINESTRING (-111.942400 33.414703,-111.942400 33.429350,)"
AM,0900_0930,truck,2,15,10.4896,"LINESTRING (-111.942400 33.414703,-111.942400 33.429350,)"
AM,0900_0930,cav,2,15,10.4896,"LINESTRING (-111.942400 33.414703,-111.942400 33.429350,)"
AM,0900_0930,ev,2,15,10.4896,"LINESTRING (-111.942400 33.414703,-111.942400 33.429350,)"
AM,0900_0930,traveler,2,15,10.4896,"LINESTRING (-111.942400 33.414703,-111.942400 33.429350,)"
AM,0900_0930,auto,2,16,10.4896,"LINESTRING (-111.942400 33.414703,-111.942400 33.427408,)"
AM,0900_0930,walk,2,16,10.4896,"LINESTRING (-111.942400 33.414703,-111.942400 33.427408,)"
AM,0900_0930,bike,2,16,10.4896,"LINESTRING (-111.942400 33.414703,-111.942400 33.427408,)"
AM,0900_0930,bus,2,16,10.4896,"LINESTRING (-111.942400 33.414703,-111.942400 33.427408,)"
AM,0900_0930,truck,2,16,10.4896,"LINESTRING (-111.942400 33.414703,-111.942400 33.427408,)"
AM,0900_0930,cav,2,16,10.4896,"LINESTRING (-111.942400 33.414703,-111.942400 33.427408,)"
AM,0900_0930,ev,2,16,10.4896,"LINESTRING (-111.942400 33.414703,-111.942400 33.427408,)"
AM,0900_0930,traveler,2,16,10.4896,"LINESTRING (-111.942400 33.414703,-111.942400 33.427408,)"
AM,0900_0930,auto,2,17,31.4683,"LINESTRING (-111.942400 33.414703,-111.939643 33.414543,)"
AM,0900_0930,walk,2,17,31.4683,"LINESTRING (-111.942400 33.414703,-111.939643 33.414543,)"
AM,0900_0930,bike,2,17,31.4683,"LINESTRING (-111.942400 33.414703,-111.939643 33.414543,)"
AM,0900_0930,bus,2,17,31.4683,"LINESTRING (-111.942400 33.414703,-111.939643 33.414543,)"
AM,0900_0930,truck,2,17,31.4683,"LINESTRING (-111.942400 33.414703,-111.939643 33.414543,)"
AM,0900_0930,cav,2,17,31.4683,"LINESTRING (-111.942400 33.414703,-111.939643 33.414543,)"
AM,0900_0930,ev,2,17,31.4683,"LINESTRING (-111.942400 33.414703,-111.939643 33.414543,)"
AM,0900_0930,traveler,2,17,31.4683,"LINESTRING (-111.942400 33.414703,-111.939643 33.414543,)"
AM,0900_0930,auto,2,18,5.2448,"LINESTRING (-111.942400 33.414703,-111.936617 33.419094,)"
AM,0900_0930,walk,2,18,5.2448,"LINESTRING (-111.942400 33.414703,-111.936617 33.419094,)"
AM,0900_0930,bike,2,18,5.2448,"LINESTRING (-111.942400 33.414703,-111.936617 33.419094,)"
AM,0900_0930,bus,2,18,5.2448,"LINESTRING (-111.942400 33.414703,-111.936617 33.419094,)"
AM,0900_0930,truck,2,18,5.2448,"LINESTRING (-111.942400 33.414703,-111.936617 33.419094,)"
AM,0900_0930,cav,2,18,5.2448,"LINESTRING (-111.942400 33.414703,-111.936617 33.419094,)"
AM,0900_0930,ev,2,18,5.2448,"LINESTRING (-111.942400 33.414703,-111.936617 33.419094,)"
AM,0900_0930,traveler,2,18,5.2448,"LINESTRING (-111.942400 33.414703,-111.936617 33.419094,)"
AM,0900_0930,auto,2,19,5.2448,"LINESTRING (-111.942400 33.414703,-111.939502 33.427383,)"
AM,0900_0930,walk,2,19,5.2448,"LINESTRING (-111.942400 33.414703,-111.939502 33.427383,)"
AM,0900_0930,bike,2,19,5.2448,"LINESTRING (-111.942400 33.414703,-111.939502 33.427383,)"
AM,0900_0930,bus,2,19,5.2448,"LINESTRING (-111.942400 33.414703,-111.939502 33.427383,)"
AM,0900_0930,truck,2,19,5.2448,"LINESTRING (-111.942400 33.414703,-111.939502 33.427383,)"
AM,0900_0930,cav,2,19,5.2448,"LINESTRING (-111.942400 33.414703,-111.939502 33.427383,)"
AM,0900_0930,ev,2,19,5.2448,"LINESTRING (-111.942400 33.414703,-111.939502 33.427383,)"
AM,0900_0930,traveler,2,19,5.2448,"LINESTRING (-111.942400 33.414703,-111.939502 33.427383,)"
AM,0900_0930,auto,2,20,10.4896,"LINESTRING (-111.942400 33.414703,-111.936580 33.412911,)"
AM,0900_0930,walk,2,20,10.4896,"LINESTRING (-111.942400 33.414703,-111.936580 33.412911,)"
AM,0900_0930,bike,2,20,10.4896,"LINESTRING (-111.942400 33.414703,-111.936580 33.412911,)"
AM,0900_0930,bus,2,20,10.4896,"LINESTRING (-111.942400 33.414703,-111.936580 33.412911,)"
AM,0900_0930,truck,2,20,10.4896,"LINESTRING (-111.942400 33.414703,-111.936580 33.412911,)"
AM,0900_0930,cav,2,20,10.4896,"LINESTRING (-111.942400 33.414703,-111.936580 33.412911,)"
AM,0900_0930,ev,2,20,10.4896,"LINESTRING (-111.942400 33.414703,-111.936580 33.412911,)"
AM,0900_0930,traveler,2,20,10.4896,"LINESTRING (-111.942400 33.414703,-111.936580 33.412911,)"
AM,0900_0930,auto,2,21,15.7345,"LINESTRING (-111.942400 33.414703,-111.942400 33.422532,)"
AM,0900_0930,walk,2,21,15.7345,"LINESTRING (-111.942400 33.414703,-111.942400 33.422532,)"
AM,0900_0930,bike,2,21,15.7345,"LINESTRING (-111.942400 33.414703,-111.942400 33.422532,)"
AM,0900_0930,bus,2,21,15.7345,"LINESTRING (-111.942400 33.414703,-111.942400 33.422532,)"
AM,0900_0930,truck,2,21,15.7345,"LINESTRING (-111.942400 33.414703,-111.942400 33.422532,)"
AM,0900_0930,cav,2,21,15.7345,"LINESTRING (-111.942400 33.414703,-111.942400 33.422532,)"
AM,0900_0930,ev,2,21,15.7345,"LINESTRING (-111.942400 33.414703,-111.942400 33.422532,)"
AM,0900_0930,traveler,2,21,15.7345,"LINESTRING (-111.942400 33.414703,-111.942400 33.422532,)"
AM,0900_0930,auto,2,22,15.7345,"LINESTRING (-111.942400 33.414703,-111.942400 33.421928,)"
AM,0900_0930,walk,2,22,15.7345,"LINESTRING (-111.942400 33.414703,-111.942400 33.421928,)"
AM,0900_0930,bike,2,22,15.7345,"LINESTRING (-111.942400 33.414703,-111.942400 33.421928,)"
AM,0900_0930,bus,2,22,15.7345,"LINESTRING (-111.942400 33.414703,-111.942400 33.421928,)"
AM,0900_0930,truck,2,22,15.7345,"LINESTRING (-111.942400 33.414703,-111.942400 33.421928,)"
AM,0900_0930,cav,2,22,15.7345,"LINESTRING (-111.942400 33.414703,-111.942400 33.421928,)"
AM,0900_0930,ev,2,22,15.7345,"LINESTRING (-111.942400 33.414703,-111.942400 33.421928,)"
AM,0900_0930,traveler,2,22,15.7345,"LINESTRING (-111.942400 33.414703,-111.942400 33.421928,)"
AM,0900_0930,auto,2,23,10.4896,"LINESTRING (-111.942400 33.414703,-111.922400 33.429271,)"
AM,0900_0930,walk,2,23,10.4896,"LINESTRING (-111.942400 33.414703,-111.922400 33.429271,)"
AM,0900_0930,bike,2,23,10.4896,"LINESTRING (-111.942400 33.414703,-111.922400 33.429271,)"
AM,0900_0930,bus,2,23,10.4896,"LINESTRING (-111.942400 33.414703,-111.922400 33.429271,)"
AM,0900_0930,truck,2,23,10.4896,"LINESTRING (-111.942400 33.414703,-111.922400 33.429271,)"
AM,0900_0930,cav,2,23,10.4896,"LINESTRING (-111.942400 33.414703,-111.922400 33.429271,)"
AM,0900_0930,ev,2,23,10.4896,"LINESTRING (-111.942400 33.414703,-111.922400 33.429271,)"
AM,0900_0930,traveler,2,23,10.4896,"LINESTRING (-111.942400 33.414703,-111.922400 33.429271,)"
AM,0900_0930,auto,2,24,5.2448,"LINESTRING (-111.942400 33.414703,-111.926295 33.412700,)"
AM,0900_0930,walk,2,24,5.2448,"LINESTRING (-111.942400 33.414703,-111.926295 33.412700,)"
AM,0900_0930,bike,2,24,5.2448,"LINESTRING (-111.942400 33.414703,-111.926295 33.412700,)"
AM,0900_0930,bus,2,24,5.2448,"LINESTRING (-111.942400 33.414703,-111.926295 33.412700,)"
AM,0900_0930,truck,2,24,5.2448,"LINESTRING (-111.942400 33.414703,-111.926295 33.412700,)"
AM,0900_0930,cav,2,24,5.2448,"LINESTRING (-111.942400 33.414703,-111.926295 33.412700,)"
AM,0900_0930,ev,2,24,5.2448,"LINESTRING (-111.942400 33.414703,-111.926295 33.412700,)"
AM,0900_0930,traveler,2,24,5.2448,"LINESTRING (-111.942400 33.414703,-111.926295 33.412700,)"
AM,0900_0930,auto,2,25,5.2448,"LINESTRING (-111.942400 33.414703,-111.928427 33.412700,)"
AM,0900_0930,walk,2,25,5.2448,"LINESTRING (-111.942400 33.414703,-111.928427 33.412700,)"
AM,0900_0930,bike,2,25,5.2448,"LINESTRING (-111.942400 33.414703,-111.928427 33.412700,)"
AM,0900_0930,bus,2,25,5.2448,"LINESTRING (-111.942400 33.414703,-111.928427 33.412700,)"
AM,0900_0930,truck,2,25,5.2448,"LINESTRING (-111.942400 33.414703,-111.928427 33.412700,)"
AM,0900_0930,cav,2,25,5.2448,"LINESTRING (-111.942400 33.414703,-111.928427 33.412700,)"
AM,0900_0930,ev,2,25,5.2448,"LINESTRING (-111.942400 33.414703,-111.928427 33.412700,)"
AM,0900_0930,traveler,2,25,5.2448,"LINESTRING (-111.942400 33.414703,-111.928427 33.412700,)"
AM,0900_0930,auto,2,26,5.2448,"LINESTRING (-111.942400 33.414703,-111.934932 33.412700,)"
AM,0900_0930,walk,2,26,5.2448,"LINESTRING (-111.942400 33.414703,-111.934932 33.412700,)"
AM,0900_0930,bike,2,26,5.2448,"LINESTRING (-111.942400 33.414703,-111.934932 33.412700,)"
AM,0900_0930,bus,2,26,5.2448,"LINESTRING (-111.942400 33.414703,-111.934932 33.412700,)"
AM,0900_0930,truck,2,26,5.2448,"LINESTRING (-111.942400 33.414703,-111.934932 33.412700,)"
AM,0900_0930,cav,2,26,5.2448,"LINESTRING (-111.942400 33.414703,-111.934932 33.412700,)"
AM,0900_0930,ev,2,26,5.2448,"LINESTRING (-111.942400 33.414703,-111.934932 33.412700,)"
AM,0900_0930,traveler,2,26,5.2448,"LINESTRING (-111.942400 33.414703,-111.934932 33.412700,)"
AM,0900_0930,auto,2,27,5.2448,"LINESTRING (-111.942400 33.414703,-111.922400 33.418168,)"
AM,0900_0930,walk,2,27,5.2448,"LINESTRING (-111.942400 33.414703,-111.922400 33.418168,)"
AM,0900_0930,bike,2,27,5.2448,"LINESTRING (-111.942400 33.414703,-111.922400 33.418168,)"
AM,0900_0930,bus,2,27,5.2448,"LINESTRING (-111.942400 33.414703,-111.922400 33.418168,)"
AM,0900_0930,truck,2,27,5.2448,"LINESTRING (-111.942400 33.414703,-111.922400 33.418168,)"
AM,0900_0930,cav,2,27,5.2448,"LINESTRING (-111.942400 33.414703,-111.922400 33.418168,)"
AM,0900_0930,ev,2,27,5.2448,"LINESTRING (-111.942400 33.414703,-111.922400 33.418168,)"
AM,0900_0930,traveler,2,27,5.2448,"LINESTRING (-111.942400 33.414703,-111.922400 33.418168,)"
AM,0900_0930,auto,2,28,10.4896,"LINESTRING (-111.942400 33.414703,-111.937764 33.424290,)"
AM,0900_0930,walk,2,28,10.4896,"LINESTRING (-111.942400 33.414703,-111.937764 33.424290,)"
AM,0900_0930,bike,2,28,10.4896,"LINESTRING (-111.942400 33.414703,-111.937764 33.424290,)"
AM,0900_0930,bus,2,28,10.4896,"LINESTRING (-111.942400 33.414703,-111.937764 33.424290,)"
AM,0900_0930,truck,2,28,10.4896,"LINESTRING (-111.942400 33.414703,-111.937764 33.424290,)"
AM,0900_0930,cav,2,28,10.4896,"LINESTRING (-111.942400 33.414703,-111.937764 33.424290,)"
AM,0900_0930,ev,2,28,10.4896,"LINESTRING (-111.942400 33.414703,-111.937764 33.424290,)"
AM,0900_0930,traveler,2,28,10.4896,"LINESTRING (-111.942400 33.414703,-111.937764 33.424290,)"
AM,0900_0930,auto,2,29,5.2448,"LINESTRING (-111.942400 33.414703,-111.927706 33.418646,)"
AM,0900_0930,walk,2,29,5.2448,"LINESTRING (-111.942400 33.414703,-111.927706 33.418646,)"
AM,0900_0930,bike,2,29,5.2448,"LINESTRING (-111.942400 33.414703,-111.927706 33.418646,)"
AM,0900_0930,bus,2,29,5.2448,"LINESTRING (-111.942400 33.414703,-111.927706 33.418646,)"
AM,0900_0930,truck,2,29,5.2448,"LINESTRING (-111.942400 33.414703,-111.927706 33.418646,)"
AM,0900_0930,cav,2,29,5.2448,"LINESTRING (-111.942400 33.414703,-111.927706 33.418646,)"
AM,0900_0930,ev,2,29,5.2448,"LINESTRING (-111.942400 33.414703,-111.927706 33.418646,)"
AM,0900_0930,traveler,2,29,5.2448,"LINESTRING (-111.942400 33.414703,-111.927706 33.418646,)"
AM,0900_0930,auto,2,30,15.7345,"LINESTRING (-111.942400 33.414703,-111.922400 33.416634,)"
AM,0900_0930,walk,2,30,15.7345,"LINESTRING (-111.942400 33.414703,-111.922400 33.416634,)"
AM,0900_0930,bike,2,30,15.7345,"LINESTRING (-111.942400 33.414703,-111.922400 33.416634,)"
AM,0900_0930,bus,2,30,15.7345,"LINESTRING (-111.942400 33.414703,-111.922400 33.416634,)"
AM,0900_0930,truck,2,30,15.7345,"LINESTRING (-111.942400 33.414703,-111.922400 33.416634,)"
AM,0900_0930,cav,2,30,15.7345,"LINESTRING (-111.942400 33.414703,-111.922400 33.416634,)"
AM,0900_0930,ev,2,30,15.7345,"LINESTRING (-111.942400 33.414703,-111.922400 33.416634,)"
AM,0900_0930,traveler,2,30,15.7345,"LINESTRING (-111.942400 33.414703,-111.922400 33.416634,)"
AM,0900_0930,auto,3,2,15.7345,"LINESTRING (-111.942400 33.419042,-111.942400 33.414703,)"
AM,0900_0930,walk,3,2,15.7345,"LINESTRING (-111.942400 33.419042,-111.942400 33.414703,)"
AM,0900_0930,bike,3,2,15.7345,"LINESTRING (-111.942400 33.419042,-111.942400 33.414703,)"
AM,0900_0930,bus,3,2,15.7345,"LINESTRING (-111.942400 33.419042,-111.942400 33.414703,)"
AM,0900_0930,truck,3,2,15.7345,"LINESTRING (-111.942400 33.419042,-111.942400 33.414703,)"
AM,0900_0930,cav,3,2,15.7345,"LINESTRING (-111.942400 33.419042,-111.942400 33.414703,)"
AM,0900_0930,ev,3,2,15.7345,"LINESTRING (-111.942400 33.419042,-111.942400 33.414703,)"
AM,0900_0930,traveler,3,2,15.7345,"LINESTRING (-111.942400 33.419042,-111.942400 33.414703,)"
AM,0900_0930,auto,3,4,10.4896,"LINESTRING (-111.942400 33.419042,-111.922590 33.412700,)"
AM,0900_0930,walk,3,4,10.4896,"LINESTRING (-111.942400 33.419042,-111.922590 33.412700,)"
AM,0900_0930,bike,3,4,10.4896,"LINESTRING (-111.942400 33.419042,-111.922590 33.412700,)"
AM,0900_0930,bus,3,4,10.4896,"LINESTRING (-111.942400 33.419042,-111.922590 33.412700,)"
AM,0900_0930,truck,3,4,10.4896,"LINESTRING (-111.942400 33.419042,-111.922590 33.412700,)"
AM,0900_0930,cav,3,4,10.4896,"LINESTRING (-111.942400 33.419042,-111.922590 33.412700,)"
AM,0900_0930,ev,3,4,10.4896,"LINESTRING (-111.942400 33.419042,-111.922590 33.412700,)"
AM,0900_0930,traveler,3,4,10.4896,"LINESTRING (-111.942400 33.419042,-111.922590 33.412700,)"
AM,0900_0930,auto,3,5,10.4896,"LINESTRING (-111.942400 33.419042,-111.922400 33.420170,)"
AM,0900_0930,walk,3,5,10.4896,"LINESTRING (-111.942400 33.419042,-111.922400 33.420170,)"
AM,0900_0930,bike,3,5,10.4896,"LINESTRING (-111.942400 33.419042,-111.922400 33.420170,)"
AM,0900_0930,bus,3,5,10.4896,"LINESTRING (-111.942400 33.419042,-111.922400 33.420170,)"
AM,0900_0930,truck,3,5,10.4896,"LINESTRING (-111.942400 33.419042,-111.922400 33.420170,)"
AM,0900_0930,cav,3,5,10.4896,"LINESTRING (-111.942400 33.419042,-111.922400 33.420170,)"
AM,0900_0930,ev,3,5,10.4896,"LINESTRING (-111.942400 33.419042,-111.922400 33.420170,)"
AM,0900_0930,traveler,3,5,10.4896,"LINESTRING (-111.942400 33.419042,-111.922400 33.420170,)"
AM,0900_0930,auto,3,6,15.7345,"LINESTRING (-111.942400 33.419042,-111.922400 33.412895,)"
AM,0900_0930,walk,3,6,15.7345,"LINESTRING (-111.942400 33.419042,-111.922400 33.412895,)"
AM,0900_0930,bike,3,6,15.7345,"LINESTRING (-111.942400 33.419042,-111.922400 33.412895,)"
AM,0900_0930,bus,3,6,15.7345,"LINESTRING (-111.942400 33.419042,-111.922400 33.412895,)"
AM,0900_0930,truck,3,6,15.7345,"LINESTRING (-111.942400 33.419042,-111.922400 33.412895,)"
AM,0900_0930,cav,3,6,15.7345,"LINESTRING (-111.942400 33.419042,-111.922400 33.412895,)"
AM,0900_0930,ev,3,6,15.7345,"LINESTRING (-111.942400 33.419042,-111.922400 33.412895,)"
AM,0900_0930,traveler,3,6,15.7345,"LINESTRING (-111.942400 33.419042,-111.922400 33.412895,)"
AM,0900_0930,auto,3,7,5.2448,"LINESTRING (-111.942400 33.419042,-111.942400 33.416191,)"
