demand_period,time_period,agent_type,o_zone_id,d_zone_id,volume,geometry
AM,0900_0930,auto,2,3,15.7345,"LINESTRING (-111.942400 33.414703,-111.942400 33.419042,)"
AM,0900_0930,walk,2,3,15.7345,"LINESTRING (-111.942400 33.414703,-111.942400 33.419042,)"
AM,0900_0930,bike,2,3,15.7345,"LINESTRING (-111.942400 33.414703,-111.942400 33.419042,)"
AM,0900_0930,bus,2,3,15.7345,"LINESTRING (-111.942400 33.414703,-111.942400 33.419042,)"
AM,0900_0930,truck,2,3,15.7345,"LINESTRING (-111.942400 33.414703,-111.942400 33.419042,)"
AM,0900_0930,cav,2,3,15.7345,"LINESTRING (-111.942400 33.414703,-111.942400 33.419042,)"
AM,0900_0930,ev,2,3,15.7345,"LINESTRING (-111.942400 33.414703,-111.942400 33.419042,)"
AM,0900_0930,traveler,2,3,15.7345,"LINESTRING (-111.942400 33.414703,-111.942400 33.419042,)"
AM,0900_0930,auto,2,4,10.4896,"LINESTRING (-111.942400 33.414703,-111.922590 33.412700,)"
AM,0900_0930,walk,2,4,10.4896,"LINESTRING (-111.942400 33.414703,-111.922590 33.412700,)"
AM,0900_0930,bike,2,4,10.4896,"LINESTRING (-111.942400 33.414703,-111.922590 33.412700,)"
AM,0900_0930,bus,2,4,10.4896,"LINESTRING (-111.942400 33.414703,-111.922590 33.412700,)"
AM,0900_0930,truck,2,4,10.4896,"LINESTRING (-111.942400 33.414703,-111.922590 33.412700,)"
AM,0900_0930,cav,2,4,10.4896,"LINESTRING (-111.942400 33.414703,-111.922590 33.412700,)"
AM,0900_0930,ev,2,4,10.4896,"LINESTRING (-111.942400 33.414703,-111.922590 33.412700,)"
AM,0900_0930,traveler,2,4,10.4896,"LINESTRING (-111.942400 33.414703,-111.922590 33.412700,)"
AM,0900_0930,auto,2,5,10.4896,"LINESTRING (-111.942400 33.414703,-111.922400 33.420170,)"
AM,0900_0930,walk,2,5,10.4896,"LINESTRING (-111.942400 33.414703,-111.922400 33.420170,)"
AM,0900_0930,bike,2,5,10.4896,"LINESTRING (-111.942400 33.414703,-111.922400 33.420170,)"
AM,0900_0930,bus,2,5,10.4896,"LINESTRING (-111.942400 33.414703,-111.922400 33.420170,)"
AM,0900_0930,truck,2,5,10.4896,"LINESTRING (-111.942400 33.414703,-111.922400 33.420170,)"
AM,0900_0930,cav,2,5,10.4896,"LINESTRING (-111.942400 33.414703,-111.922400 33.420170,)"
AM,0900_0930,ev,2,5,10.4896,"LINESTRING (-111.942400 33.414703,-111.922400 33.420170,)"
AM,0900_0930,traveler,2,5,10.4896,"LINESTRING (-111.942400 33.414703,-111.922400 33.420170,)"
AM,0900_0930,auto,2,6,15.7345,"LINESTRING (-111.942400 33.414703,-111.922400 33.412895,)"
AM,0900_0930,walk,2,6,15.7345,"LINESTRING (-111.942400 33.414703,-111.922400 33.412895,)"
AM,0900_0930,bike,2,6,15.7345,"LINESTRING (-111.942400 33.414703,-111.922400 33.412895,)"
AM,0900_0930,bus,2,6,15.7345,"LINESTRING (-111.942400 33.414703,-111.922400 33.412895,)"
AM,0900_0930,truck,2,6,15.7345,"LINESTRING (-111.942400 33.414703,-111.922400 33.412895,)"
AM,0900_0930,cav,2,6,15.7345,"LINESTRING (-111.942400 33.414703,-111.922400 33.412895,)"
AM,0900_0930,ev,2,6,15.7345,"LINESTRING (-111.942400 33.414703,-111.922400 33.412895,)"
AM,0900_0930,traveler,2,6,15.7345,"LINESTRING (-111.942400 33.414703,-111.922400 33.412895,)"
AM,0900_0930,auto,2,7,5.2448,"LINESTRING (-111.942400 33.414703,-111.942400 33.416191,)"
AM,0900_0930,walk,2,7,5.2448,"LINESTRING (-111.942400 33.414703,-111.942400 33.416191,)"
AM,0900_0930,bike,2,7,5.2448,"LINESTRING (-111.942400 33.414703,-111.942400 33.416191,)"
AM,0900_0930,bus,2,7,5.2448,"LINESTRING (-111.942400 33.414703,-111.942400 33.416191,)"
AM,0900_0930,truck,2,7,5.2448,"LINESTRING (-111.942400 33.414703,-111.942400 33.416191,)"
AM,0900_0930,cav,2,7,5.2448,"LINESTRING (-111.942400 33.414703,-111.942400 33.416191,)"
AM,0900_0930,ev,2,7,5.2448,"LINESTRING (-111.942400 33.414703,-111.942400 33.416191,)"
AM,0900_0930,traveler,2,7,5.2448,"LINESTRING (-111.942400 33.414703,-111.942400 33.416191,)"
AM,0900_0930,auto,2,8,5.2448,"LINESTRING (-111.942400 33.414703,-111.927871 33.420269,)"
AM,0900_0930,walk,2,8,5.2448,"LINESTRING (-111.942400 33.414703,-111.927871 33.420269,)"
AM,0900_0930,bike,2,8,5.2448,"LINESTRING (-111.942400 33.414703,-111.927871 33.420269,)"
AM,0900_0930,bus,2,8,5.2448,"LINESTRING (-111.942400 33.414703,-111.927871 33.420269,)"
AM,0900_0930,truck,2,8,5.2448,"LINESTRING (-111.942400 33.414703,-111.927871 33.420269,)"
AM,0900_0930,cav,2,8,5.2448,"LINESTRING (-111.942400 33.414703,-111.927871 33.420269,)"
AM,0900_0930,ev,2,8,5.2448,"LINESTRING (-111.942400 33.414703,-111.927871 33.420269,)"
AM,0900_0930,traveler,2,8,5.2448,"LINESTRING (-111.942400 33.414703,-111.927871 33.420269,)"
AM,0900_0930,auto,2,9,10.4896,"LINESTRING (-111.942400 33.414703,-111.940418 33.431200,)"
AM,0900_0930,walk,2,9,10.4896,"LINESTRING (-111.942400 33.414703,-111.940418 33.431200,)"
