link_id,vdf_type,from_node_id,to_node_id,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,preload_volume,person_volume,travel_time,speed,speed_ratio,VOC,DOC,capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,qdf,lanes,D,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_auto,person_vol_walk,person_vol_bike,person_vol_bus,person_vol_truck,person_vol_cav,person_vol_ev,person_vol_traveler,person_vol_district_0_auto,person_vol_district_0_walk,person_vol_district_0_bike,person_vol_district_0_bus,person_vol_district_0_truck,person_vol_district_0_cav,person_vol_district_0_ev,person_vol_district_0_traveler,obs_count,upper_bound_type,dev,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,TT_0,TT_1,TT_2,TT_3,TT_4,TT_5,TT_6,TT_7,TT_8,TT_9,TT_10,TT_11,TT_12,TT_13,TT_14,TT_15,TT_16,TT_17,TT_18,TT_19,notes
2,bpr,2,349,-1,0,,,-1,0,-1,-1,6,,,0900_0930,47.203,0.000,47.203,0.104,40.000,1.000,0.094,0.094,1000.000,0.000,4.768,0.101,2.000,1.000,94.406,0.955,1.142,0.000,0.000,40.000,34.000,0.400,4.000,39.998,34.000,3.265,0.082,3.265,0.082,0.000,0.000,"LINESTRING (-111.9412691 33.4243385, -111.9407083 33.4243409, -111.9400719 33.4243450)",47.203,0.000,0.000,0.000,0.000,0.000,0.000,0.000,47.203,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,39.999,37.999,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,period-based
3,bpr,349,2,-1,0,,,-1,0,-1,-1,6,,,0900_0930,46.217,0.000,46.217,0.104,40.000,1.000,0.092,0.092,1000.000,0.000,1.447,0.031,2.000,1.000,92.435,0.955,1.142,0.000,0.000,40.000,34.000,0.400,4.000,39.999,34.000,3.197,0.080,3.197,0.080,0.000,0.000,"LINESTRING (-111.9400719 33.4243450, -111.9407083 33.4243409, -111.9412691 33.4243385)",46.217,0.000,0.000,0.000,0.000,0.000,0.000,0.000,46.217,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,38.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,period-based
4,bpr,4,5,-1,0,,,-1,0,-1,-1,6,,,0900_0930,54.889,0.000,54.889,0.084,39.999,1.000,0.110,0.110,1000.000,0.000,2.448,0.045,2.000,1.000,109.778,0.955,1.142,0.000,0.000,40.000,34.000,0.400,4.000,39.997,34.000,3.068,0.077,3.068,0.077,0.000,0.000,"LINESTRING (-111.9376334 33.4243567, -111.9375411 33.4243581, -111.9373581 33.4243583, -111.9367572 33.4243590, -111.9366660 33.4243591)",54.889,0.000,0.000,0.000,0.000,0.000,0.000,0.000,54.889,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,39.999,37.999,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,period-based
5,bpr,5,4,-1,0,,,-1,0,-1,-1,6,,,0900_0930,61.638,0.000,61.638,0.084,39.999,1.000,0.123,0.123,1000.000,0.000,2.020,0.033,2.000,1.000,123.275,0.955,1.142,0.000,0.000,40.000,34.000,0.400,4.000,39.995,34.000,3.445,0.086,3.445,0.086,0.000,0.000,"LINESTRING (-111.9366660 33.4243591, -111.9367572 33.4243590, -111.9373581 33.4243583, -111.9375411 33.4243581, -111.9376334 33.4243567)",61.638,0.000,0.000,0.000,0.000,0.000,0.000,0.000,61.638,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,39.998,37.998,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,period-based
8,bpr,7,8,-1,0,,,-1,0,-1,-1,6,,,0900_0930,15.734,0.000,15.734,0.194,30.000,1.000,0.031,0.031,1000.000,0.000,0.607,0.039,2.000,1.000,31.469,0.955,1.142,0.000,0.000,30.000,25.500,0.400,4.000,30.000,25.500,1.527,0.051,1.527,0.051,0.000,0.000,"LINESTRING (-111.9412608 33.4219305, -111.9412597 33.4219207, -111.9412482 33.4215187, -111.9412477 33.4215016, -111.9412432 33.4213251, -111.9412418 33.4212879, -111.9412404 33.4212296, -111.9412399 33.4211998, -111.9412309 33.4205714, -111.9412300 33.4205223)",15.734,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.734,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,28.500,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,period-based
12,bpr,11,12,-1,0,,,-1,0,-1,-1,6,,,0900_0930,69.231,0.000,69.231,0.001,29.998,1.000,0.138,0.138,1000.000,0.000,2.456,0.035,2.000,1.000,138.463,0.955,1.142,0.000,0.000,30.000,25.500,0.400,4.000,29.995,25.500,0.043,0.001,0.043,0.001,0.000,0.000,"LINESTRING (-111.9424000 33.4190423, -111.9423945 33.4190482)",69.231,0.000,0.000,0.000,0.000,0.000,0.000,0.000,69.231,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,29.998,28.498,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
13,bpr,12,11,-1,0,,,-1,0,-1,-1,6,,,0900_0930,67.938,0.000,67.938,0.001,29.998,1.000,0.136,0.136,1000.000,0.000,0.000,0.000,2.000,1.000,135.875,0.955,1.142,0.000,0.000,30.000,25.500,0.400,4.000,29.995,25.500,0.042,0.001,0.042,0.001,0.000,0.000,"LINESTRING (-111.9423945 33.4190482, -111.9424000 33.4190423)",67.938,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67.938,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,29.998,28.498,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
14,bpr,12,13,-1,0,,,-1,0,-1,-1,6,,,0900_0930,31.469,0.000,31.469,0.191,30.000,1.000,0.063,0.063,1000.000,0.000,1.087,0.035,2.000,1.000,62.938,0.955,1.142,0.000,0.000,30.000,25.500,0.400,4.000,30.000,25.500,3.012,0.100,3.012,0.100,0.000,0.000,"LINESTRING (-111.9423945 33.4190482, -111.9423684 33.4190899, -111.9423603 33.4191344, -111.9423658 33.4196106, -111.9423680 33.4197262, -111.9423711 33.4201216, -111.9423768 33.4204094, -111.9423773 33.4204312)",31.469,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31.469,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,28.500,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,period-based
15,bpr,13,12,-1,0,,,-1,0,-1,-1,6,,,0900_0930,15.734,0.000,15.734,0.191,30.000,1.000,0.031,0.031,1000.000,0.000,0.729,0.046,2.000,1.000,31.469,0.955,1.142,0.000,0.000,30.000,25.500,0.400,4.000,30.000,25.500,1.506,0.050,1.506,0.050,0.000,0.000,"LINESTRING (-111.9423773 33.4204312, -111.9423768 33.4204094, -111.9423711 33.4201216, -111.9423680 33.4197262, -111.9423658 33.4196106, -111.9423603 33.4191344, -111.9423684 33.4190899, -111.9423945 33.4190482)",15.734,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.734,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,28.500,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,period-based
16,bpr,350,15,-1,0,,,-1,0,-1,-1,3,,,0900_0930,386.840,0.000,386.840,0.079,79.974,1.000,0.215,0.215,1800.000,0.000,0.589,0.002,2.000,2.000,386.840,0.955,1.142,0.002,0.000,80.000,68.000,0.400,4.000,79.915,68.000,40.689,0.509,40.689,0.509,0.000,0.000,"LINESTRING (-111.9395884 33.4159654, -111.9395362 33.4159003, -111.9394011 33.4157327, -111.9392425 33.4155500, -111.9389322 33.4153003, -111.9388168 33.4152112, -111.9386707 33.4151129, -111.9382922 33.4149218)",386.840,0.000,0.000,0.000,0.000,0.000,0.000,0.000,386.840,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,79.972,75.972,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,period-based
