link_id,vdf_type,from_node_id,to_node_id,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,preload_volume,person_volume,travel_time,speed,speed_ratio,VOC,DOC,capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,qdf,lanes,D,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_auto,person_vol_walk,person_vol_bike,person_vol_bus,person_vol_truck,person_vol_cav,person_vol_ev,person_vol_traveler,person_vol_district_0_auto,person_vol_district_0_walk,person_vol_district_0_bike,person_vol_district_0_bus,person_vol_district_0_truck,person_vol_district_0_cav,person_vol_district_0_ev,person_vol_district_0_traveler,obs_count,upper_bound_type,dev,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,TT_0,TT_1,TT_2,TT_3,TT_4,TT_5,TT_6,TT_7,TT_8,TT_9,TT_10,TT_11,TT_12,TT_13,TT_14,TT_15,TT_16,TT_17,TT_18,TT_19,notes
17,bpr,15,16,-1,0,,,-1,0,-1,-1,3,,,0900_0930,386.840,0.000,386.840,0.043,79.974,1.000,0.215,0.215,1800.000,0.000,1.034,0.003,2.000,2.000,386.840,0.955,1.142,0.002,0.000,80.000,68.000,0.400,4.000,79.915,68.000,22.016,0.275,22.016,0.275,0.000,0.000,"LINESTRING (-111.9382922 33.4149218, -111.9381040 33.4148441, -111.9378250 33.4147525, -111.9375837 33.4146896, -111.9373669 33.4146466)",386.840,0.000,0.000,0.000,0.000,0.000,0.000,0.000,386.840,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,79.972,75.972,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,period-based
18,bpr,16,17,-1,0,,,-1,0,-1,-1,3,,,0900_0930,631.736,0.000,631.736,0.015,79.818,0.998,0.351,0.351,1800.000,0.000,4.647,0.007,2.000,2.000,631.736,0.955,1.142,0.014,0.000,80.000,68.000,0.400,4.000,79.401,68.000,12.717,0.159,12.717,0.159,0.000,0.000,"LINESTRING (-111.9373669 33.4146466, -111.9370926 33.4146142, -111.9370216 33.4146084)",631.736,0.000,0.000,0.000,0.000,0.000,0.000,0.000,631.736,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,79.794,75.794,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,period-based
21,bpr,351,352,-1,0,,,-1,0,-1,-1,3,,,0900_0930,463.710,0.000,463.710,0.124,47.994,1.000,0.172,0.172,1800.000,0.000,2.479,0.005,2.000,3.000,309.140,0.955,1.142,0.001,0.000,48.000,40.800,0.400,4.000,47.979,40.800,46.063,0.960,46.063,0.960,0.000,0.000,"LINESTRING (-111.9400804 33.4219347, -111.9400823 33.4218803, -111.9400874 33.4217822, -111.9400779 33.4214219, -111.9400726 33.4212626, -111.9400612 33.4209214, -111.9400495 33.4205725, -111.9400474 33.4204936)",463.710,0.000,0.000,0.000,0.000,0.000,0.000,0.000,463.710,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,47.993,45.593,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,48.000,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,period-based
22,bpr,353,23,-1,0,,,-1,0,-1,-1,6,,,0900_0930,92.054,0.000,92.054,0.140,29.995,1.000,0.184,0.184,1000.000,0.000,7.369,0.080,2.000,1.000,184.108,0.955,1.142,0.001,0.000,30.000,25.500,0.400,4.000,29.983,25.500,6.425,0.214,6.425,0.214,0.000,0.000,"LINESTRING (-111.9400280 33.4190552, -111.9401097 33.4190635, -111.9404610 33.4190613, -111.9404880 33.4190608, -111.9406070 33.4190602, -111.9412354 33.4190569)",92.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,92.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,29.994,28.494,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,period-based
23,bpr,23,353,-1,0,,,-1,0,-1,-1,6,,,0900_0930,94.406,0.000,94.406,0.140,29.994,1.000,0.189,0.189,1000.000,0.000,4.486,0.048,2.000,1.000,188.813,0.955,1.142,0.001,0.000,30.000,25.500,0.400,4.000,29.981,25.500,6.590,0.220,6.590,0.220,0.000,0.000,"LINESTRING (-111.9412354 33.4190569, -111.9406070 33.4190602, -111.9404880 33.4190608, -111.9404610 33.4190613, -111.9401097 33.4190635, -111.9400280 33.4190552)",94.406,0.000,0.000,0.000,0.000,0.000,0.000,0.000,94.406,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,29.994,28.494,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,period-based
24,bpr,23,12,-1,0,,,-1,0,-1,-1,6,,,0900_0930,107.788,0.000,107.788,0.134,29.990,1.000,0.216,0.216,1000.000,0.000,6.672,0.062,2.000,1.000,215.577,0.955,1.142,0.002,0.000,30.000,25.500,0.400,4.000,29.968,25.500,7.220,0.241,7.220,0.241,0.000,0.000,"LINESTRING (-111.9412354 33.4190569, -111.9417794 33.4190532, -111.9418437 33.4190521, -111.9423945 33.4190482)",107.788,0.000,0.000,0.000,0.000,0.000,0.000,0.000,107.788,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,29.989,28.489,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,period-based
25,bpr,12,23,-1,0,,,-1,0,-1,-1,6,,,0900_0930,94.406,0.000,94.406,0.134,29.994,1.000,0.189,0.189,1000.000,0.000,4.782,0.051,2.000,1.000,188.813,0.955,1.142,0.001,0.000,30.000,25.500,0.400,4.000,29.981,25.500,6.323,0.211,6.323,0.211,0.000,0.000,"LINESTRING (-111.9423945 33.4190482, -111.9418437 33.4190521, -111.9417794 33.4190532, -111.9412354 33.4190569)",94.406,0.000,0.000,0.000,0.000,0.000,0.000,0.000,94.406,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,29.994,28.494,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,period-based
26,bpr,12,24,-1,0,,,-1,0,-1,-1,6,,,0900_0930,55.585,0.000,55.585,0.001,29.999,1.000,0.111,0.111,1000.000,0.000,0.000,0.000,2.000,1.000,111.170,0.955,1.142,0.000,0.000,30.000,25.500,0.400,4.000,29.998,25.500,0.035,0.001,0.035,0.001,0.000,0.000,"LINESTRING (-111.9423945 33.4190482, -111.9424000 33.4190481)",55.585,0.000,0.000,0.000,0.000,0.000,0.000,0.000,55.585,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,29.999,28.499,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
27,bpr,24,12,-1,0,,,-1,0,-1,-1,6,,,0900_0930,56.644,0.000,56.644,0.001,29.999,1.000,0.113,0.113,1000.000,0.000,2.218,0.039,2.000,1.000,113.288,0.955,1.142,0.000,0.000,30.000,25.500,0.400,4.000,29.998,25.500,0.035,0.001,0.035,0.001,0.000,0.000,"LINESTRING (-111.9424000 33.4190481, -111.9423945 33.4190482)",56.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,56.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,29.999,28.499,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
28,bpr,25,9,-1,0,,,-1,0,-1,-1,6,,,0900_0930,33.395,0.000,33.395,0.283,30.000,1.000,0.067,0.067,1000.000,0.000,1.191,0.036,2.000,1.000,66.790,0.955,1.142,0.000,0.000,30.000,25.500,0.400,4.000,30.000,25.500,4.723,0.157,4.723,0.157,0.000,0.000,"LINESTRING (-111.9398928 33.4136273, -111.9400289 33.4136266, -111.9404614 33.4136244, -111.9412969 33.4136201, -111.9421721 33.4136157, -111.9423400 33.4136148)",33.395,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.395,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,28.500,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,period-based
