link_id,name,from_node_id,to_node_id,length,link_type_name,link_type,dir_flag,lanes,free_speed,capacity,geometry
10000001,SKYT,10007915,10007916,1938.777701,transit,99,1,1,50,100,"LINESTRING (-111.990022 33.446946000000004, -111.9900722 33.4462546, -111.9892744 33.4461815, -111.9889887 33.4461488, -111.9872085 33.4459089, -111.987238 33.4400929, -111.98627150000002 33.43845630000001, -111.9860222 33.437918, -111.9872687 33.4367782, -111.9878412 33.4367957, -111.9878354 33.4362476, -111.9878285 33.4356656, -111.9878078 33.435385, -111.9878116 33.4353032, -111.9878144 33.4349028, -111.9878175 33.434499800000005, -111.9877325 33.434499, -111.9876701 33.4345004, -111.98533559999998 33.4352662, -111.984922 33.434637)"
10000002,SKYT,10007916,10007918,1129.630338,transit,99,1,1,50,100,"LINESTRING (-111.984922 33.434637, -111.98533559999998 33.4352662, -111.9876701 33.4345004, -111.9877063 33.4352047, -111.9878116 33.4353032, -111.9878939 33.4353092, -111.98860890000002 33.4352667, -111.9889386 33.4352399, -111.9919639 33.434998300000004, -111.9923626 33.43496, -111.9926311 33.4349603, -111.99302790000002 33.4349608, -111.9942268 33.4349566, -111.994392 33.434956, -111.9964365 33.434949100000004, -111.998028 33.43473)"
10000003,SKYT,10007918,10007917,1289.692641,transit,99,1,1,50,100,"LINESTRING (-111.998028 33.43473, -111.9964365 33.434949100000004, -111.9996803 33.4349428, -112.0034576 33.434975699999995, -112.0041631 33.434975800000004, -112.0043337 33.434975800000004, -112.00503909999998 33.4349759, -112.0052971 33.4349771, -112.0080886 33.4349774, -112.0088674 33.4349775, -112.0102922 33.4351239, -112.009982 33.434733)"
10000004,SKYT,10007917,10007918,4455.714346,transit,99,1,1,50,100,"LINESTRING (-112.009982 33.434733, -112.0102922 33.4351239, -112.01052659999998 33.4360926, -112.0114893 33.4376196, -112.0133172 33.437898, -112.0149748 33.4378712, -112.0160099 33.4374891, -112.0162471 33.4373049, -112.0162602 33.4379394, -112.0114055 33.4377114, -112.0105477 33.436472200000004, -112.0092684 33.4359091, -112.0088687 33.4359045, -112.0087818 33.435903499999995, -112.0087314 33.435903499999995, -112.0050395 33.435911600000004, -112.004334 33.43591110000001, -112.0041588 33.4359091, -112.0034534 33.435907300000004, -111.9997452 33.4360361, -111.99967859999998 33.4360387, -111.9964311 33.4360144, -111.9943918 33.4360151, -111.9942538 33.4360151, -111.9926227 33.436015999999995, -111.9922793 33.4360191, -111.9919598 33.4360147, -111.98881000000002 33.435635999999995, -111.98860890000002 33.4352667, -111.9889386 33.4352399, -111.9919639 33.434998300000004, -111.9923626 33.43496, -111.9926311 33.4349603, -111.99302790000002 33.4349608, -111.9942268 33.4349566, -111.994392 33.434956, -111.9964365 33.434949100000004, -111.998028 33.43473)"
10000005,SKYT,10007918,10007916,5418.408901,transit,99,1,1,50,100,"LINESTRING (-111.998028 33.43473, -111.9964365 33.434949100000004, -111.9996803 33.4349428, -112.0034576 33.434975699999995, -112.0041631 33.434975800000004, -112.0043337 33.434975800000004, -112.00503909999998 33.4349759, -112.0052971 33.4349771, -112.0080886 33.4349774, -112.0088674 33.4349775, -112.0102922 33.4351239, -112.01052659999998 33.4360926, -112.0114893 33.4376196, -112.0133172 33.437898, -112.0149748 33.4378712, -112.0160099 33.4374891, -112.0162471 33.4373049, -112.0162602 33.4379394, -112.0114055 33.4377114, -112.0105477 33.436472200000004, -112.0092684 33.4359091, -112.0088687 33.4359045, -112.0087818 33.435903499999995, -112.0087314 33.435903499999995, -112.0050395 33.435911600000004, -112.004334 33.43591110000001, -112.0041588 33.4359091, -112.0034534 33.435907300000004, -111.9997452 33.4360361, -111.99967859999998 33.4360387, -111.9964311 33.4360144, -111.9943918 33.4360151, -111.9942538 33.4360151, -111.9926227 33.436015999999995, -111.9922793 33.4360191, -111.9919598 33.4360147, -111.98881000000002 33.435635999999995, -111.9879108 33.435651, -111.9878285 33.4356656, -111.9878078 33.435385, -111.9878116 33.4353032, -111.9878144 33.4349028, -111.9878175 33.434499800000005, -111.9877325 33.434499, -111.9876701 33.4345004, -111.98533559999998 33.4352662, -111.984922 33.434637)"
10000006,SKYT,10007916,10007915,2834.851024,transit,99,1,1,50,100,"LINESTRING (-111.984922 33.434637, -111.98533559999998 33.4352662, -111.9876701 33.4345004, -111.9877325 33.434499, -111.9878175 33.434499800000005, -111.9915873 33.4340177, -111.9916283 33.4346387, -111.9916297 33.4348647, -111.9916383 33.4351338, -111.9916342 33.4357664, -111.9916328 33.4358507, -111.9916355 33.4361543, -111.9870339 33.4361523, -111.9860431 33.4365201, -111.9850896 33.4382419, -111.98717179999998 33.4401784, -111.98727990000002 33.4447896, -111.9872085 33.4459089, -111.98747 33.4459691, -111.9883733 33.4461426, -111.9889347 33.4462951, -111.9889506 33.4463319, -111.9892511 33.4463671, -111.9900722 33.4462546, -111.990022 33.446946000000004)"
10000007,GUS1,10000357,10000330,518.6770302,transit,99,1,1,50,100,"LINESTRING (-112.1851655 33.53974758, -112.1852552 33.5398394, -112.1849517 33.5398552, -112.1837122 33.5398497, -112.18246299999998 33.539837899999995, -112.1824651 33.538548, -112.181211 33.5385418, -112.1806798 33.53846571)"
10000008,GUS1,10000330,10000329,399.4983407,transit,99,1,1,50,100,"LINESTRING (-112.1806798 33.53846571, -112.181211 33.5385418, -112.17996399999998 33.538535, -112.1790237 33.5385317, -112.1787251 33.538529600000004, -112.1784162 33.5385283, -112.17807 33.5385274, -112.1778905 33.5385259, -112.1773898 33.5385219, -112.1769015 33.538516800000004, -112.177034 33.53839049)"
10000009,GUS1,10000329,10000328,331.5167336,transit,99,1,1,50,100,"LINESTRING (-112.177034 33.53839049, -112.1769015 33.538516800000004, -112.1765271 33.5385146, -112.1761719 33.5385128, -112.1753431 33.538509000000005, -112.1749311 33.5385107, -112.1745284 33.5385091, -112.1733255 33.538498600000004, -112.1738407 33.53838823)"
10000010,GUS1,10000328,10003518,238.6272505,transit,99,1,1,50,100,"LINESTRING (-112.1738407 33.53838823, -112.1733255 33.538498600000004, -112.1731624 33.5384963, -112.1728598 33.5384916, -112.1708959 33.538461600000005, -112.1707524 33.538461100000006, -112.1708094 33.53806051)"
10000011,GUS1,10003518,10003519,204.002723,transit,99,1,1,50,100,"LINESTRING (-112.1708094 33.53806051, -112.1707524 33.538461100000006, -112.17072140000002 33.5384609, -112.1707252 33.5366528, -112.1708037 33.53693634)"
